"itemname","item_count","averagesale","highest","total_gold"
"Gloves of Immortal Dusk",4,2063.64,2185,8254.55
"Swiftsteel Bracers",4,493.05,511.1,1972.20
"Void Crystal",34,19.00,19,646.00
"FathomHelm of the Deeps",1,546.25,546.25,546.25
"Greater Planar Essence",40,12.51,14.25,513.00
"Nether Vortex",8,60.80,60.8,486.40
"Belt of the Guardian",1,451.25,451.25,451.25
"Large Prismatic Shard",30,12.35,12.35,370.50
"Hardened Khorium",4,64.60,64.6,258.40
"Cobrahide Leg Armor",1,142.50,142.5,142.50
"Felsteel Shield Spike",1,142.50,142.5,142.50
"Lionseye",2,57.00,57,114.00
"Crimson Spinel",2,52.25,52.25,104.50
"Pyrestone",2,52.25,52.25,104.50
"Arcane Dust",100,0.67,0.67,67.00
"Living Ruby",2,33.01,37.52,66.02
"Seaspray Emerald",2,19.00,19,38.00
"Arakkoa Feather",33,0.55,0.72,21.38
"Spicy Crawdad",24,0.57,0.57,13.68
"Grilled Mudfish",17,0.51,0.51,8.67
"Golden Draenite",1,5.99,5.99,5.99
"Arcane Tome",3,1.61,1.86,5.07
"Talasite",1,3.81,3.81,3.81
"Blood Garnet",1,3.80,3.8,3.80
"Drums of Battle",7,0.47,0.47,3.29
